Episode,Reward,Result
1463,1.0,win
1464,1.0,win
1465,-1.0,lose
1466,1.0,win
1467,1.0,win
1468,-1.0,lose
1469,1.0,win
1470,1.0,win
1471,-1.0,lose
1472,1.0,win
1473,1.0,win
1474,1.0,win
1475,1.0,win
1476,1.0,win
1477,1.0,win
1478,1.0,win
1479,1.0,win
1480,0.5,tie
1481,1.0,win
1482,1.0,win
1483,1.0,win
1484,-1.0,lose
1485,1.0,win
1486,1.0,win
1487,-1.0,lose
1488,1.0,win
1489,1.0,win
1490,-1.0,lose
1491,-1.0,lose
1492,1.0,win
1493,0.5,tie
1494,1.0,win
1495,1.0,win
1496,-1.0,lose
1497,1.0,win
1498,1.0,win
1499,-1.0,lose
1500,1.0,win
1501,1.0,win
1502,1.0,win
1503,1.0,win
1504,1.0,win
1505,1.0,win
1506,1.0,win
1507,1.0,win
1508,1.0,win
1509,1.0,win
1510,1.0,win
1511,1.0,win
1512,1.0,win
1513,1.0,win
1514,1.0,win
1515,1.0,win
1516,1.0,win
1517,1.0,win
1518,1.0,win
1519,1.0,win
1520,1.0,win
1521,1.0,win
1522,-1.0,lose
1523,1.0,win
1524,1.0,win
1525,1.0,win
1526,1.0,win
1527,1.0,win
1528,1.0,win
1529,-1.0,lose
1530,1.0,win
1531,1.0,win
1532,1.0,win
1533,1.0,win
1534,1.0,win
1535,1.0,win
1536,1.0,win
